id,type,title,latitude,longitude,address,description,phone,website
13,Community,Child & Youth Health Hearing Assessment Unit,-34.935085,138.610066,"295 South Terrace, Adelaide, ",,,
14,Community,Police Station - Adelaide,-34.9283239,138.6025544,"60 Wakefield St, Adelaide, South Australia",Police station,08 8172 5000 General enquiries,www.police.sa.gov.au
15,Community,Police Station - Hindley Street,-34.9230252,138.5984936,"26 Hindley St, Adelaide, South Australia",Police station,08 8303 0525,www.police.sa.gov.au
16,Community,Adelaide City Council Library Service - North Terrace,-34.9213885,138.6018407,"Corner of North Tce & Kintore Ave, Adelaide, South Australia","Public library
Book club - North Terrace Library Book Club, monthly, 1st Thurs 11am - 12.30am
Childrenâ€™s programs as advertised on website, bookings required
Home Energy Toolkit available for loan - find out how to save energy at home <a href=""http://www.sa.gov.au/energy/toolkit"">www.sa.gov.au/energy/toolkit</a>
Home library service - delivery of library items to Adelaide City Council residents who are unable to visit the library
Internet access - booking required; wireless internet access
Office facilities - fax, photocopying",08 8203 7203,www.adelaidecitycouncil.com/library
17,Community,Adelaide City Council Library Service - Hutt Street,-34.9334824,138.6122127,"235 Hutt St, Adelaide, South Australia","Public library
Book club - Hutt Street Library Book Club, monthly, 1st Thurs 6.30pm - 8pm
Home Energy Toolkit available for loan - find out how to save energy at home <a href=""http://www.sa.gov.au/energy/toolkit"">www.sa.gov.au/energy/toolkit</a>
Home library service - delivery of library items to Adelaide City Council residents who are unable to visit the library
Internet access - booking required; wireless internet access
Meeting spaces available for hire - large room, medium and small rooms, kitchen
Photocopying, printing and faxing services",08 8203 7990,www.adelaidecitycouncil.com/library
18,Community,Adelaide City Council Library Service - Grote Street,-34.928271,138.598386,"18 Grote St, Adelaide, South Australia","Public library
Internet access - bookings recommended; wireless internet access within the library
Home Energy Toolkit available for loan - find out how to save energy at home <a href=""http://www.sa.gov.au/energy/toolkit"">www.sa.gov.au/energy/toolkit</a>
Languages Other Than English (LOTE) - books, DVDs, and CDs
English language & conversation classes
Meeting space available for hire, bookings required - City Classroom and Training Room
Home library service - delivery of library items to Adelaide City Council residents who are unable to visit the library",08 8203 7990,www.adelaidecitycouncil.com/library
19,Community,TAFE SA Adelaide College of the Arts,-34.924474,138.592427,"39 Light Sq, Adelaide, South Australia","Vocational education and training
Library
Light Square Gallery - presents exhibitions of contemporary work by students and local, national and international artists
Child care available at <a href=""/org/202166-City_West_Child_Care_Centre"">City West Child Care Centre</a>",08 8463 5000,www.acarts.edu.au
20,Community,TAFE SA Adelaide City Campus,-34.9245354,138.595511,"120 Currie St, Adelaide, South Australia","Vocational education and training
Library
Child care is available at <a href=""/org/202166-City_West_Child_Care_Centre"">City West Child Care Centre</a>
Aboriginal access centre",08 8207 8200,www.tafesa.edu.au
21,Community,Adelaide Visitor Information Centre,-34.9229311,138.6006408,"Corner Rundle Mall & James Pl, Adelaide, South Australia","Tourist information
Free orientation walks Mon - Fri 9.30am
City guides rove the central retail area and help with tourism, directional and other information
Free wheelchair and pusher hire",08 8203 7611,www.cityofadelaide.com.au
22,Community,South Australian Visitor Information Centre,-34.9219796,138.5945568,"108 North Terrace, Adelaide, South Australia","Tourist information
Wifi
Brochures and maps",08 8463 4694,www.southaustralia.com
23,Community,Rottweiler Club of South Australia Inc.,-34.917388,138.578141,"Adelaide Cricket Oval No 25, Port Rd, Adelaide, South Australia",All breeds obedience training,0417 870 784,www.rottweilerclubsa.com.au
24,Community,Champion Toastmasters Club,-34.9334824,138.6122127,"Hutt Street Community Centre and Library, 235 Hutt Street, Adelaide, South Australia",Training and development in public speaking and leadership,,champion.toastmastersclubs.org
25,Community,Plants for Animal Enrichment Program,-34.9129458,138.6069437,"Adelaide Zoo,, Frome Road, Adelaide, South Australia","Collection of foliage used to supplement the diets of animals at Adelaide Zoo. 
Trimming and removal of branches for browse is provided free of charge. 
A visit should provide us with at least a Ute load of browse material (approximately 15 branches, 2-3m long). 
It is preferable for our staff to cut the browse themselves to ensure it is at its freshest upon delivery to the Zoo.",08 8267 3255,www.adelaidezoo.com.au/getting-involved/donate/browse-collection
26,Community,Butterfly Conservation South Australia Inc.,-34.9205705,138.6031454,"c/- South Australian Museum, North Tce, Adelaide, South Australia",Butterfly habitat conservation,08 8297 8230,www.chariot.net.au/~bcsa
27,Community,ARPA Bushwalkers,-34.9239152,138.5975298,"Level 5, 25 Leigh St, Adelaide, South Australia","There are four grades of day walks: D - duration of about 2 hours; C - duration of 3-4 hours; B - duration of 4-5 hours; A duration of 5-6 hours.
Around 4-6 walks per month, per grade are led by volunteer leaders who plan and conduct the walk.
A number of low cost camps are held each year.
Walks in Mitcham area and elsewhere",08 8278 5249,arpabushwalkers.org.au/
28,Community,City of Adelaide - Community Services,-34.9261907,138.6006412,"Adelaide City Council: Level 3, 25 Pirie Street, Adelaide, South Australia","Information and referral - no charge
Home help - cleaning (short term: up to 13.5 hrs per year, ONGOING: Basic cleaning, fortnightly or monthly for maximum of 3hrs/month). An intensive one-off clean also available if required. Minimum $10/service depending on income.
Laundry - limited to assistance with hanging out or laundromat, no ironing. Generally limited to 1 hr per fortnight. Minimum $10/service,depending on income
Gardening - General clean up,weeding,trimming and removal of waste; maximum 10 hours/year. $10/service 
Shopping and banking - shopping either with client or can be done on their behalf, banking assistance only if accompanied by client. Minimum $10/service, depending on income.
Personal care - Basic assistance up to 1.5 hours per week. Max. of 13.5 hours over a 6 week period per year. Minimum $10/service.
Carer support - no charge
Home Maintenance - minor works only. $10/service depending upon income, plus cost of materials.
Home Modification - installation of hand rails only. Site assessment required by occupational therapist who will charge a separate fee.  Council can provide a referral.  s
Counselling - no charge
Transport - Community bus available for transport to the Central Market on Thursdays for gold coin donation. No wheelchair access.
Transport - Personal to medical appointments within the City boundary which are postcodes 5000 & 5006. Minimum $10/service depending upon income, per return trip
Transport - Taxi and Other Subsidies - holders of Disabled Persons' Parking Permits are entitled to free parking for the first 2 hours in any UPark parking station in the city
Community Information Directory - available online",08 8203 7624,www.adelaidecitycouncil.com
29,Community,South Australian Retirement Villages Residents' Association Inc.,-34.9256083,138.6121433,"16 Hutt St, Adelaide, South Australia","Representation and lobbying on behalf of retirement village residents
Information for people considering moving into a retirement village
Encourages good relations between retirement village management and residents
Advice on dispute resolution procedures",08 8232 0422,www.seniors.asn.au/SARVRA
30,Community,Smoke Alarms,-34.92856,138.604985,"Metropolitan Fire Service, 99 Wakefield St, Adelaide, South Australia",,,www.samfs.sa.gov.au
31,Community,Home & Community Care,-34.92124099999999,138.596016,"Level 4, Riverside Centre North Tce, Adelaide, South Australia","Services funded through the HACC Program include, but are not limited to
Allied Health Care
Nursing care - provided by a registered or enrolled nurse
Personal care - assistance with self-care tasks such as bathing, toileting, dressing, grooming and eating
Meals and other food services
Domestic assistance - cleaning, dishwashing, laundry, ironing, shopping, bill paying
Home maintenance - minor work such as changing light globes, repairing doors and windows, replacing tap washers, lawn mowing, rubbish removal
Home modification - including installation of rails, ramps, emergency alarms, minor renovations
Transport
Respite care - to give carers time away from their caring role
Counselling, support, information and advocacy
Veterans and war widows may be eligible for a similar range of support services from the <a href=""?q=intref/CISADOC1/542"">Department of Veterans' Affairs</a> Veterans' Home Care program",08 8415 4250,www.dcsi.sa.gov.au
32,Community,City Care Network Inc.,-34.9262919,138.6072684,"12 Sudholz Pl, Adelaide, South Australia","Friendly visiting - Provided by volunteers, may include letter writing/reading
Shopping - volunteers assist clients to do their shopping
Home maintenance - limited to minor work.  Client pays cost of materials
Gardening - limited to small jobs such as trimming, basic weeding.  Does not include tree pruning or lawnmowing
Supported recreation - monthly group activities and occasional outings Transport may be provided for those in need. Fees may apply for outings only
Transport - personal transport to appointments within West Torrens and Adelaide councils only. Provided only in combination with other services and if volunteers are available",08 8232 2905,
33,Community,Veterans' Home Care,-34.9240493,138.6085188,"199 Grenfell St, Adelaide, South Australia","Home help - cleaning, ironing/laundry and assistance with meal preparation. Shopping for a limited number of items and bill paying done on client's behalf but client not accompanied
Personal care - including daily non-clinical self-care assistance such as bathing, dressing, toileting
Home maintenance - limited to minor maintenancce or repair tasks such as washer replacement, gutter cleaning. For property maintenance advice and tasks requiring qualified tradespersons, contact the <a href=""?q=intref/09J93EJ3/3618"">Veterans' Home Maintenance Helpline</a>
Home and garden maintenance - limited to ensuring the environment is safe; excludes weeding, pruning, lawn mowing, tree lopping
Respite care - Emergency: For situations where the carer is suddenly and unexpectedly unable to continue in the caring role. Any emergency respite hours are in addition to the normal in-home or residential respite paid by the Department of Veterans' Affairs. Limited number of hours apply.
Respite care - In-Home: Up to 196 hours (28 days) of in-home respite, residential respite or combination of both. 7 hours of in-home respite is equivalent to 1 day in a residential respite facility
Respite care- In Hospital: DVA may approve Respite in hospital only in exceptional circumstances, when there is no bed in a residentail aged care facility.
Respite care - Residential Aged Care Facility. Up to 196 hours (28 days) of in-home respite, residential respite or a combination of both. 7 hours of in-home respite is equivalent to 1 day in a residential respite facility. DVA will pay the Basic Daily Care Fee in Commonwealth-funded residential respite facilities. Gaps may be payable for respite in non-Commonwealth funded facilities. Note: DVA will not approve funding for residential respite immediately following a period of acute or convalescent care and there must be a clear intention for the eligible person to return the community following residential respite care",,www.dva.gov.au
34,Community,Horizons Volunteer Program,-34.9274532,138.5972944,"c/- Commonwealth Respite and Carelink Centre, North & West Country, 43 Franklin St, Adelaide, South Australia","Respite - out of home respite.  Including shopping, social activities and accompanying a client to an appointment
Social support - including friendly visiting and regular phone calls",,
35,Community,Adult Community Education,-34.925938,138.598763,"Level 4, 11 Waymouth Street, Adelaide, South Australia","Grants are available on application to eligible community-based organisations to support the delivery of adult learning activities in local areas.
Broad program areas include:
Personal Development
Recreation
Information Technology
Job Seeking Skills
Budgeting
Life Skills
Social Development
Arts & Crafts
Health & Wellbeing
Literacy & Numeracy
Cookery
Communication Skills",08 8226 3821,www.dfeest.sa.gov.au/about-us/our-department/initiatives-programs/adult-community-education
36,Community,Veterans' Heart Health Program,-34.924728,138.607741,"99 Frome St, Adelaide, South Australia","Structured and supervised cardio-vascular training
Educational sessions covering a range of topics such as diet and nutrition, stress management and cardio-vascular health
Access to self-directed ongoing heart health activities",,www.dva.gov.au/health/vvcs/heart.htm
37,Community,State Concession Card,-34.9256303,138.6013832,"Concession & Anti-Poverty Services, Level 4, 44 Pirie St, Adelaide, South Australia","Concessions may include:
Council rates
Water/sewerage charges
Energy - the applicant must not be sharing the house with someone who is not a spouse, partner or dependant (defined as a child under 16 years of age, a child 16-18 years of age in receipt of Youth Allowance from Centrelink, and a child 16-24 years of age in full time education in receipt Youth Allowance, Austudy or Abstudy from Centrelink) who has an income of $3,000 or more per year which is not a benefit or pension from Centrelink or the Department of Veterans' Affairs
<a href=""?q=intref/09J93EJ3/3297"">Emergency Services Levy</a>
Public transport  - just show the card if proof of eligibility requested by an inspector
Vehicle registration and licence fees - <a href=""?q=intref/CISADOC1/2526"">Transport SA</a>",1800 307 758,www.sa.gov.au/concessions
38,Community,Welfare Centre for German-Speaking Seniors,-34.9268837,138.6089777,"S.A. German Association Inc., 223 Flinders St, Adelaide, South Australia","Social support - accompany clients to appointments, assist with daily activities
Centre-based day care, including clients with memory loss
Friendly visiting
Referral to aged and community services
Case coordination
Advocacy",,www.saadv.com.au
39,Community,South Australian Obedience Dog Club Inc.,-34.92862119999999,138.5999594,"SA Obedience Dog Club Grounds, Beaumont Rd, South Parklands, Adelaide, South Australia","Agility training
Dog obedience training",8223 6626 (recorded message),www.sadogobedience.org.au
40,Community,Blue Light Inc.,-34.9298777,138.604497,"2nd Floor, 100 Angus Street, Adelaide, South Australia","CitySafe - program for year 11-12 students shown safe areas in city
Drop-in-Centres
Living skills program designed for young people at school
Sail Training Courses
Unlicensed discos for 12 - 18 year olds, operating throughout metropolitan and country areas.
Youth camps for young people of all socio-economic, cultural backgrounds to enhance their way of life:
""Errappa"" Iron Knob Contact: Dave Taylor, mobile 0438 452 748, fax 8646 2174, email: errappa@active8.net.au
""Noorla Yo-Long"" Millicent - specialising with children with behavioural problems Contact: Des Noll, mobile 0408 899 396, fax 8735 4329, email bluelight@activ8.net.au
Drivers Education Program - Riverland
Basketball and Skate programs",7322 3296,www.bluelightsa.com
41,Community,Tai Chi & Chi Kung Institute & Chinese Yoga,-34.934552,138.608193,"Deaf SA Hall (Tues & Fri sessions), 262 South Tce, Adelaide, South Australia","*Chi Kung - relaxation and Chi breathing exercises
*Tai chi classes including slow exercises, concentration and co-ordination
*8 instructors accredited in China and Australia (NCAS)
*7 week course available during school term
*Free introductory lesson proceeds each 7 week term
*Free course brochure and discount coupons sent out on request or available on the Tai chi website
* Consession discount for Seniors Card Holders",8371 2488,www.taichi.com.au
42,Community,Adelaide High School,-34.9293435,138.5879672,"West Tce, Adelaide, South Australia","Secondary education - Years 8 to 12
Special language program
Centre for hearing impaired students
Programs of excellence in cricket and rowing",08 8231 9373,www.adelaidehs.sa.edu.au
43,Community,Italian Chamber of Commerce & Industry in Australia Inc - Adelaide,-34.9309885,138.6101354,"262a Carrington St, Adelaide, South Australia","Develop trade relations between Italy and Australia
Local industry development",8232 4022,www.italianchamber.net.au
44,Community,Friends of the Heysen Trail (Adelaide Hills Area),-34.9280593,138.5973375,"10 Pitt St, Adelaide, South Australia","Promotion of Heysen Trail and other walking trails in South Australia 
Shop - maps, trail guides, books, clothing 
Social activities
Trail maintenance activities - Contacts for sections in the Adelaide Hills Council areas: Glen Bold to Piccadilly (Thelma Anderson - (H) 8278 4420 & Trevor Lee - (H) 8398 0516); Piccadilly to Norton Summit (Liz O'Shea [WEA Ramblers] - (H) 8352 1636); Norton Summit to Cudlee Creek (Colin Edwards - (H)8264 1492 & Graham O'Reilly - (H) 8397 1217); Cudlee Creek to Bethany (John Potter, David Curtis - 0418 835 321)
Walks program - weekly evening and weekend walks in and around Adelaide",8212 6299,www.heysentrail.asn.au
45,Community,Perpetual Fund of the Federation of Polish Organisations in SA Inc.,-34.929369,138.609449,"230 Angas St, Adelaide, ",Funding for cultural events,,
46,Community,Wakefield Greens,-34.9320796,138.5911847,"239 Wright St, Adelaide, ","Political party
Public environmental lectures, discussion and debate",8212 4888,www.sa.greens.org.au
47,Community,Connecting Up Inc.,-34.92563,138.599889,"Level 8, 108 King William St, Adelaide, South Australia","Donated or discounted technology for eligible nonprofit organisations
Events, workshops and online learning centre for not-for-profits and charities
SAcommunity and Directory of Community Services SA - information about community services in South Australia 
Connecting Up Directory: Australian Nonprofit & Charity Organisations â€“ comprehensive directory of nonprofits and charities
Connecting Up Conference -  annual conference on improving nonprofit operations and outcomes through innovation and technology",08 8212 8555,www.connectingup.org
48,Community,Disability Information & Resource Centre Inc.,-34.9340166,138.6078115,"195 Gilles St, Adelaide, South Australia","Information service, with referral to appropriate agencies - concerning services for people with a physical, sensory, intellectual or psychiatric disability, acquired or traumatic brain injury and other disabilities
Disability and Ageing Expos - 3 held annually, one in Adelaide and two in regional areas of South Australia
Information dissemination via website
History of Disability in SA project
Library/resource centre on disability - resources available for loan
Meeting/activity space - 3 meeting rooms available for hire, convertible into a conference area with audio loop
Public access computers - internet and word processing
Publications - including Disability Information Directory SA, DIRC Current Awareness Service
ACMS - assists clients to access services and support after catastrophic injuries leading to permanent disabilities
Wireless internet
Study area",08 8236 0555,www.dircsa.org.au
49,Community,Service SA Government Legislation Outlet,-34.9219796,138.5945568,"EDS Centre, 108 North Tce, Adelaide, South Australia","Sales outlet - South Australian government and other publications; legislation, bills and government gazettes; parliamentary and government reports;  Power of Attorney and Guardianship kits; government diaries and financial year planners
Payment of bills including Land Tax, SA Water, Emergency Services Levy and SA Housing Trust debtor payments
Mail order service and online shop",13 2324,www.service.sa.gov.au
50,Community,Women's Information Service,-34.9242978,138.6032394,"91-97 Grenfell St, Adelaide, South Australia","Information service for women in South Australia
Referral to appropriate services, agencies and organisations relevant to women
Court Support Program - support for women attending the Family Court or Federal Magistrates Court in Adelaide
Volunteer programs - Tax help July - Oct, rural phone link up service for country women",08 8303 0590,www.wis.sa.gov.au
51,Community,Media Resource Centre Inc.,-34.9231612,138.5933522,"13 Morphett St, Adelaide, South Australia","Community workshops - filmmaking and digital storytelling
Audio-visual equipment hire - including digital, video and film cameras, editing facilities, sound equipment and lights (bookings essential)
Exhibition program - screening a variety of films, videos and digital media in the Mercury and Iris Cinemas (both also available for hire)
Information and advice - on all aspects of film, digital media and video production and exhibition
Seniors program - films, seminars and workshops for older people including cinema  every Friday for $4 followed by afternoon tea and discussion",,www.mrc.org.au
52,Community,"Health Promotion Branch, SA Health",-34.92348,138.60501,"Level 4, CitiCentre, 11 Hindmarsh Sq, Adelaide, South Australia","Public education and awareness - health promotion
Policy development and strategic planning for health promotion",08 8226 6329,www.health.sa.gov.au/pehs/health-promotion.htm
53,Community,Local Government Association of SA,-34.9263759,138.6083767,"148 Frome St, Adelaide, South Australia","Comprehensive policy planning and general research - including investigation of the policy and service implications of public policy on local government
Information and advice to member councils
Education and training for Council Elected Members and staff
IT and electronic services support and management for Councils
Public education and awareness - information about South Australian Councils and local government issues available from the LGA web site
Representation of councils on matters of strategic importance to state and commonwealth governments, business and the non-government sector",08 8224 2000,www.lga.sa.gov.au
54,Community,National Council of Women of SA Inc.,-34.9358142,138.5955877,"95 South Tce, Adelaide, South Australia","Social action and advocacy for the removal of discrimination against women and  promotion of equal status of women and men
Public forums and events",,www.ncwa.org.au
55,Community,Youth Affairs Council of SA Inc.,-34.927359,138.601035,"Level 4, 182 Victoria Square, Adelaide, South Australia","Policy development, social research and advocacy on issues affecting young people and the youth sector
Information dissemination - publishes a fortnightly e-Bulletin, quarterly newsletter (YACSARound), regularly updated online information
Sector support, resources and training for youth workers and their managers
Office facilities - data projector, laptop computer, colour photocopier, badgemakers (3 sizes)
Provision of youth participation training for organisations, governance training, and facilitation of events and forums for young people",08 8211 7546,www.yacsa.com.au
56,Community,Australian Conservation Foundation Inc. (SA),-34.9278745,138.5936773,"Level 1, 157 Franklin St, Adelaide, South Australia","Environmental protection campaigns
Information dissemination
Public education and awareness",,www.acfonline.org.au
57,Community,Conservation Council of SA Inc.,-34.9278745,138.5936773,"Level 1, 157 Franklin St, Adelaide, South Australia","Environmental advocacy and community engagement 
Environmental projects
Information dissemination - reference library and resource centre, educational displays and pamphlets, regular publications",08 8223 5155,www.conservationsa.org.au
58,Community,Energy Advisory Service,-34.925938,138.598763,"Level 8, ANZ Bldg, 11 Waymouth St, Adelaide, South Australia","Information, advice and resources on home energy use - including saving energy, reducing bills and greenhouse gas emissions, heating, cooling, lighting, water heating, refrigeration, entertainment appliances, use of solar technology
Public education and awareness - including pamphlets, booklets and educational resources",1800 671 907,www.sa.gov.au/energysmart
59,Community,"Environment, Water & Natural Resources, Department of",-34.9242978,138.6032394,"9th Floor, Chesser House, 91-97 Grenfell St, Adelaide, South Australia","Animal welfare - improving the standard of care for animals in South Australia
Biodiversity conservation - including managing the development, use and protection of parks and reserves
<a href=""?q=intref/CISADOC1/2643"">Adelaide Botanic Garden</a>
Coastal and marine conservation
<a href=""?q=intref/CISADOC1/2117"">Environment Protection Authority</a>
Heritage - conserving and protecting South Australia's built and maritime heritage
<a href=""?q=intref/CISADOC1/2642"">Mapland & Environmental Information</a>
<a href=""?q=intref/CISADOC1/2115"">National Parks & Wildlife SA</a>
<a href=""?q=intref/CISADOC1/2428"">Office of Sustainability</a>",08 8204 1910,www.environment.sa.gov.au
60,Community,Nature Conservation Society of SA Inc.,-34.927361,138.589419,"260 Franklin St, Adelaide, South Australia","Environmental protection advocacy
Field surveys by volunteers
Public education and awareness
Research into threatened species and habitats
Walks with Nature - annual program of guided walks in winter and spring",,www.ncssa.asn.au
61,Community,Royal Society for the Prevention of Cruelty to Animals (SA) Inc.,-34.9265468,138.5939047,"172 Morphett St, Adelaide, South Australia","Animal welfare and protection
Animal shelter for sick, injured and abandoned animals
Adoption centre for dogs, cats and rabbits
Cat traps for hire for humane capture of stray cats
Public education and awareness - animal care
Volunteer program",1300 477 722,www.rspcasa.asn.au
62,Community,The Wilderness Society (South Australia) Inc,-34.925595,138.600093,"Level 7, 118 King William St, Adelaide, South Australia","Environmental protection advocacy - aims to prevent the destruction of wilderness and secure its future
Public education and awareness - promotes ideas and actions that enhance the understanding, enjoyment and protection of Australian wilderness",08 8231 6586,www.wilderness.org.au
63,Community,Amnesty International Australia - SA & NT Branch Inc.,-34.9285473,138.5985735,"14 Grote St, Adelaide, South Australia","Advocacy for human rights
Information and resources about human rights abuses throughout the world",08 8110 8100,www.amnesty.org.au
64,Community,United Nations Association of Australia - SA Division Inc.,-34.9313666,138.6032729,"Unit 57, 81 Carrington St, Adelaide, South Australia","Promotion of intercultural, international understanding and relations - provides information service to schools, organisations and the public; arranges functions for UN days; organises and participates in UNAA conferences; promotes special observance days; provides guest speakers to community organisations; disseminates publications of the UN and its agencies
Active committees - UNAA Status of Women Committee, United Nations Youth Association",08 8344 4978,www.unaa.org.au
65,Community,South Australian Council of Churches Inc.,-34.927273,138.60315,"65 Flinders St, Adelaide, South Australia","Fund raising - Christmas Bowl Appeal and other projects of the National or South Australian Council of Churches
Promotion of local ecumenical community initiatives
Overseas aid
Promotion of intercultural, international understanding and relations
Public education and awareness - development issues",,www.sacc.asn.au
66,Community,Consumer and Business Services,-34.9244303,138.6031603,"Customer Service Centre, 91 Grenfell St, Adelaide, South Australia","Advice and information about rental properties including residential parks
Enforcment of rights and obligations of landlords and tenants where negotiation has not succeeded
Bond lodgement and refund",13 1882,www.sa.gov.au/tenancy/renters
67,Community,Shelter SA Inc.,-34.9313666,138.6032729,"Unit 44, 81 Carrington St, Adelaide, South Australia","Coordinates community input into housing policy analysis and development
Agencies Supporting Housing for Refugee and Asylum Seekers (ASHRA) - special interest network
Housing programs evaluation
Housing research
Public education for housing and related issues",08 8223 4077,www.sheltersa.asn.au
68,Community,Vincentian Centre,-34.9327123,138.5949531,"28 Whitmore Sq, Adelaide, South Australia","Emergency accommodation, meals, showers
Assessment of needs
Information and referral to other organisations and social support",,www.vinnies.org.au
69,Community,St John's Youth Services Inc.,-34.9321262,138.6162368,"1st Floor, 379 Halifax St, Adelaide, South Australia","Emergency accommodation for young homeless young men - 24 hour supported accommodation at Burdekin Place
Emergency accommodation for homeless young women who may also have accompanying children at Chisholm Place
Specialist children's support service for dependent children and their mothers who are resident in Chisholm Place
Long term accommodation to homeless young people aged 16-25 from culturally and linguistically diverse backgrounds at St John's Lodge
Outreach and transitional support to young people moving to independence or longer term supported housing
St Vincent Street - provides independant housing, support and mentoring to young people to support them in accessing education and work opportunities.This service is provided in patership with the South Australian Government (DFC and Housing SA) and the AFL Players Association",,www.stjohnsyouthservices.org.au
70,Community,Adelaide Benevolent Society Inc.,-34.92783000000001,138.598424,"17 Morialta St, Adelaide, ","Emergency assistance - food vouchers
Financial assistance
Independent living units for people on low incomes",,www.adelaide.org.au
