"parkId","metabaseContentId","contentId","ownerId","ownerLocale","title","facilityType","features","addressLine1","addressLine2","addressLine3","state","suburb","postcode","abstract","description"
18,320507,20527,213,"SA","Galpin Reserve",",Garden,",",BBQ Facilities,Picnic Area,","Barrage Road",,,"SA","GOOLWA","5214","Lawned reserve near the historic Goolwa Regatta Yatch Club and overlooking the Murray River.",
19,320508,20528,213,"SA","Jaralde Park",",Garden,",",BBQ Facilities,Picnic Area,Toilets,","The Wharf","Cutting Road",,"SA","GOOLWA","5214","Wharf Market held here 1st & 3rd Sunday every month.",
20,320509,20529,213,"SA","Richard Ballard Park",",Garden,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","Liverpool Road",,,"SA","GOOLWA","5214",,
21,320510,20530,213,"SA","Murray Smith Park",",Garden,",",BBQ Facilities,Picnic Area,Shelter,","Porter Street",,,"SA","GOOLWA","5214","Large undercover gazebo overlooking lake.",
43,322113,35072,229,"SA","Pioneer Park",",Park,",",Picnic Area,Shelter,Toilets,",,,,"SA","Gawler","5118",,
44,322324,9469,271,"SA","Goodwood Oval",",Oval,Park,",",BBQ Facilities,Disabled Facilities,Play Equipment,Shelter,Sports Facilities,Toilets,","Curzon Avenue",,,"SA","Millswood","5034",,
45,322325,9470,271,"SA","Fullarton Park",",Park,",",BBQ Facilities,Disabled Facilities,Play Equipment,Toilets,","Corner Fisher Street & Fullarton Road",,,"SA","Fullarton","5063",,
46,322326,9471,271,"SA","Forestville Reserve",",Park,",",BBQ Facilities,Play Equipment,Shelter,Toilets,","Ethel Street",,,"SA","Forestville","5035",,
47,322417,9484,271,"SA","Hackett Reserve",",Park,",,"Corner Kenilworth Road & Dudley Street",,,"SA","Parkside","5063",,
48,322418,9485,271,"SA","Haslop Reserve",",Park,",",Play Equipment,","Cremorne Street",,,"SA","Malvern","5061",,
49,322419,9486,271,"SA","Henry Codd Reserve",",Park,",",BBQ Facilities,Play Equipment,","Corner Maud Street & Windsor Street",,,"SA","Parkside","5063",,
50,322420,9487,271,"SA","Heywood Park",",Park,",",BBQ Facilities,Play Equipment,Toilets,","Addiscombe Place",,,"SA","Unley Park","5061",,
51,322421,9488,271,"SA","Highgate Junior & Primary Schools",",Oval,",",Play Equipment,Shelter,","Avenue Road",,,"SA","Highgate","5063",,
52,322422,9489,271,"SA","Howard Florey Reserve",",Park,",",Play Equipment,","Campbell Road",,,"SA","Fullarton","5063",,
53,322423,9490,271,"SA","Leicester Street Playground",",Park,",",Play Equipment,","Leicester Street",,,"SA","Parkside","5063",,"<div><p>Notice to Residents: After being closed for several months because of low level soil contamination, the park and playground is expected to reopen in a few months.</p><p>A $100,000 remediation plan will see some additional rubber soft fall around the play equipment and a water permeable barrier placed over the existing grassed area which will then be covered with new loam and instant turf.</p><p>Unfortunately, theseÂ  works require the removal of the concrete pipe ""tunnel"" and associated grass mound area from the centre of the park.</p><p>Although the work is likely to be completed in late August, the park and playground will remain closed for a little longer to allow the instant turf to settle and take root.</p><p>We will keep you informed on the progress of the works and the eventual opening date.</p><p>For further information please contact the Customer Service Team on 8372 5111.</p></div>"
54,322426,9491,271,"SA","McLeay Park",",Park,",",Play Equipment,","George Street",,,"SA","Parkside","5063",,
55,322427,9492,271,"SA","Millswood Park",",Park,",,"Millswood Cresent",,,"SA","Millswood","5034",,
56,322438,9496,271,"SA","Morrie Harrell Playground",",Park,",",Play Equipment,","Ramage Street",,,"SA","Unley","5061",,
57,322439,9497,271,"SA","North Unley Playpark",",Park,",",BBQ Facilities,Disabled Facilities,Play Equipment,Shelter,Toilets,","Young Street",,,"SA","Goodwood","5034",,
58,322440,9498,271,"SA","Orphanage Park",",Park,",",BBQ Facilities,Disabled Facilities,Toilets,","Mitchell Street",,,"SA","Millswood","5034",,
59,322441,9499,271,"SA","Page Park",",Park,",",Play Equipment,Shelter,Toilets,","Corner Cross Road and East Avenue",,,"SA","Clarence Park","5034",,
60,322442,9500,271,"SA","Parkside Primary School",",Oval,",",Shelter,","Robsart Street",,,"SA","Parkside","5063",,
61,322464,3981,235,"SA","Kimba Memorial Park",",Park,",",BBQ Facilities,Dog Exercise Area,Picnic Area,Shelter,Toilets,","Main Street",,,"SA","Kimba","5641",,"<div><div>See the phot of the park below</div></div>"
62,322465,3982,235,"SA","Kimba Recreation Reserve",",Oval,",",BBQ Facilities,Cycling,Disabled Facilities,Dog Exercise Area,Picnic Area,Play Equipment,Shelter,Sports Facilities,Toilets,","North Terrace",,,"SA","Kimba","5641",,"<div><div>Description and pictures here</div></div>"
63,322682,27432,275,"SA","Lake McIntyre",",Park,",",BBQ Facilities,Cycling,Disabled Facilities,Picnic Area,Toilets,Walking and Hiking trails,","Saleyards Road",,,"SA","Millicent","5280",,"<div><div>Lake McIntyre is a former Quarry site which has been rehabilitated into a nature reserve.Â </div></div>"
68,322999,9314,276,"SA","Baroda Avenue Reserve, Netley","Park","Play Equipment","Baroda Avenue",,,"SA","Netley","5037",,"Playground"
69,323000,9315,276,"SA","Beare Avenue Reserve, Netley","Park","Play Equipment","Transport Avenue",,,"SA","Netley","5037",,"Playground"
70,323001,9316,276,"SA","Bikeway Reserve","Park","Cycling,Walking and Hiking trails","Sturt Creek, Linear Park",,,"SA","Novar Gardens","5040",,"Bike and walking track"
71,323002,9317,276,"SA","Britton Street Reserve, West Richmond","Park","Play Equipment,Shelter,Sports Facilities","Britton Street",,,"SA","West Richmond","5037",,"GazeboPlaygroundTennis courts"
72,323003,9319,276,"SA","Camden Oval, Novar Gardens","Oval","BBQ Facilities,Play Equipment,Sports Facilities,Toilets","Saratoga Drive",,,"SA","Novar Gardens","5040",,"Playing fieldsBarbequeBasketball courtsPlaygroundTennis courtsToilets"
73,323004,9322,276,"SA","Clifford Street Reserve, Torrensville","Park","Play Equipment","Clifford Street",,,"SA","Torrensville","5031",,"Playground"
74,323005,9323,276,"SA","Coast Park Bikeway","Park","Cycling,Walking and Hiking trails","Esplanade",,,"SA","West Beach","5024",,"Bikeway for the use of cyclists and pedestrians"
75,323006,9324,276,"SA","Comet Avenue Reserve, North Plympton","Park","Play Equipment","Comet Avenue",,,"SA","North Plympton","5038",,"Playground"
76,323007,9325,276,"SA","Coral Sea Reserve, Fulham","Park","Play Equipment,Shelter","Ashburn Avenue",,,"SA","Fulham","5024",,"Playground"
77,323008,9326,276,"SA","Creslin Terrace Reserve, Camden Park","Park","Play Equipment","Creslin Terrace","(Part of West Side Bikeway)",,"SA","Camden Park","5038",,"Playground"
78,323009,9327,276,"SA","Cromer Street Reserve, Camden Park","Park","Play Equipment","Cromer Street",,,"SA","Camden Park","5038",,"Playground"
79,323010,9328,276,"SA","Errington Street Reserve, Plympton","Park","Play Equipment","Errington Street",,,"SA","Plympton","5038",,"Playground"
80,323011,9329,276,"SA","Falcon Avenue Reserve, Mile End","Park","BBQ Facilities,Picnic Area,Play Equipment","Thebarton Neighbourhood House","Falcon Avenue",,"SA","Mile End","5031",,"Playground"
81,323012,9330,276,"SA","Frank Norton Reserve, Torrensville","Park","BBQ Facilities,Play Equipment,Shelter","Rankine Road",,,"SA","Torrensville","5031",,"BarbequeGazeboPlayground"
82,323013,9331,276,"SA","Golflands Reserve, Glenelg North","Oval","BBQ Facilities,Play Equipment,Shelter,Sports Facilities","Mattner Avenue",,,"SA","Glenelg North","5045",,"BarbequeBasketball courtsPlaygroundOvalShelterTennis courts"
83,323014,9332,276,"SA","Halsey Road Reserve, Fulham","Park","Play Equipment","Halsey Road",,,"SA","Fulham","5024",,"Playground"
84,323015,9333,276,"SA","Helenslea Avenue Reserve, Brooklyn Park","Park","Play Equipment","Helenslea Avenue",,,"SA","Brooklyn Park","5032",,"Playground"
85,323016,9334,276,"SA","Dove Street Reserve","Park","BBQ Facilities,Play Equipment,Shelter,Sports Facilities,Toilets","Dove Street",,,"SA","Thebarton","5031",,"BarbequesBasketball courtPlaygroundGazeboToilets"
86,323017,9335,276,"SA","Kesmond Reserve, Keswick","Oval","BBQ Facilities,Play Equipment,Shelter,Sports Facilities","Everard Avenue",,,"SA","Keswick","5035",,"BarebequeBasketball courtPlaygroundOvalShelterTennis courts"
87,323018,9336,276,"SA","Kings Reserve, Torrensville","Park","BBQ Facilities,Picnic Area,Play Equipment,Shelter,Sports Facilities,Toilets","Ashwin Parade",,,"SA","Torrensville","5031",,"BarbequeGazeboOvalPlayground (disabled access)Picnic tables and chairsSkateboarding rampsToilets"
88,323019,9337,276,"SA","Lindfield Avenue Reserve, Novar Gardens","Park","Play Equipment","Lindfield Avenue",,,"SA","Novar Gardens","5040",,"Playground"
89,323020,9338,276,"SA","Lindsay Street Reserve, Camden Park","Park","Play Equipment","Lindsay Street",,,"SA","Camden Park","5038",,"Playground"
90,323021,9339,276,"SA","River Torrens Linear Park, West Beach","Park","Cycling,Walking and Hiking trails","River Torrens","Seaview Road",,"SA","West Beach","5024","Beach end of Linear Park at West Beach","Bike and walking tracks"
91,323022,9340,276,"SA","River Torrens Linear Park, Thebarton","Park","Cycling,Walking and Hiking trails","River Torrens","Port Road",,"SA","Thebarton","5031","City end of Linear Park at Thebarton","Bike and walking tracks"
92,323023,9341,276,"SA","Lockleys Oval, Lockleys","Oval","Play Equipment,Sports Facilities,Toilets,Walking and Hiking trails","Rutland Avenue",,,"SA","Lockleys","5032",,"Basketball courts PlaygroundPlaying fields Tennis courtsToiletsWalking tracks"
93,323024,9343,276,"SA","Lyons Street Reserve, Brooklyn Park","Park","Play Equipment","Lyons Street",,,"SA","Brooklyn Park","5032",,"Playground"
94,323025,9344,276,"SA","Lysle Street Reserve, Brooklyn Park","Park","Play Equipment","Lysle Street",,,"SA","Brookklyn Park","5032",,"Playground"
95,323026,9345,276,"SA","Mellor Park, Lockleys","Park","BBQ Facilities,Play Equipment,Sports Facilities,Toilets,Walking and Hiking trails","362 Henley Beach Road",,,"SA","Lockleys","5032",,"BarbequeBasketball courtsPlaygroundPlaying fieldsTennis courtsToiletsWalking tracks"
96,323027,9346,276,"SA","Michael Street Reserve, Lockleys","Park","Play Equipment","Michael Street",,,"SA","Lockleys","5032",,"Playground"
97,323028,9347,276,"SA","Mile End Common, Mile End","Park","BBQ Facilities,Play Equipment,Shelter,Sports Facilities,Toilets","Ballara Street",,,"SA","Mile End","5031",,"BarbequeBasketball courtGazeboPlaygroundToilets"
98,323029,9348,276,"SA","Mountbatten Grove Reserve, West Beach","Park","Play Equipment","Mountbatten Grove",,,"SA","West Beach","5024",,"Playground"
99,323030,9349,276,"SA","Neston Avenue Reserve, North Plympton","Park","Play Equipment","Neston Avenue",,,"SA","North Plaympton","5037",,"Playground"
100,323031,9350,276,"SA","Noble Avenue Reserve, Lockleys","Park","Play Equipment","Noble Avenue",,,"SA","Lockleys","5032",,"Playground"
101,323032,9351,276,"SA","Northern Avenue Reserve, West Beach","Park","Play Equipment","Northern Avenue",,,"SA","West Beach","5024",,"Playground"
102,323033,9352,276,"SA","Peake Gardens Reserve, Marleston","Park","Play Equipment","Bice Avenue",,,"SA","Marleston","5033",,"Playground"
103,323034,9353,276,"SA","Pooch Park, Flinders Park","Park","Dog Exercise Area","Tedder Reserve, Torrens River Linear Park","Findon Road",,"SA","Flinders Park","5025",,"Fenced park with adventure playground for dogs"
104,323035,9354,276,"SA","Poplar Street Reserve, West Beach","Park","Play Equipment","Poplar Street",,,"SA","West Beach","5024",,"Playground"
105,323036,9355,276,"SA","Ramsey Street Reserve, Netley","Park","Play Equipment","Ramsey Street",,,"SA","Netley","5037",,"Playground"
106,323037,9356,276,"SA","Reece Jennings Bikeway","Park","Cycling,Walking and Hiking trails","Tapleys Hill Road to Burbridge Road",,,"SA","Glenelg North to West Beach",,,"Bikeways for the use of cyclists and pedestrians"
107,323038,9357,276,"SA","Reedbeds Community Centre Playground, Fulham","Park","Play Equipment","Fitch Road",,,"SA","Fulham","5024",,"Playground"
108,323039,9358,276,"SA","Rex Jones Reserve, Kurralta Park","Park","BBQ Facilities,Play Equipment,Sports Facilities","Allchurch Avenue",,,"SA","Kurralta Park","5037",,"BarbequesBasketball courtPlaygroundTennis courts"
109,323040,9359,276,"SA","Riverview Drive Reserve, Underdale","Park","Play Equipment","Riverview Drive",,,"SA","Underdale","5032",,"Playground"
110,323041,9360,276,"SA","Sandringham Reserve, North Plympton","Park","Play Equipment","Kinkaid Avenue",,,"SA","North Plympton","5037",,"Playground"
111,323042,9362,276,"SA","Shephard Court Reserve, Novar Gardens","Park","Play Equipment","Shepard Court",,,"SA","Novar Gardens","5040",,"Playground"
112,323043,9363,276,"SA","Sherriff Street Reserve, Underdale","Park","Play Equipment","Sherriff Street",,,"SA","Underdale","5032",,"Playground"
113,323044,9364,276,"SA","Siesta Avenue Reserve, West Beach","Park","Play Equipment","Siesta Avenue",,,"SA","West Beach","5024",,"Playground"
114,323045,9365,276,"SA","Southern Avenue Reserve, West Beach","Park","Play Equipment","Southern Avenue",,,"SA","West Beach","5024",,"Playground"
115,323046,9366,276,"SA","St Georges Avenue Reserve, Glandore","Park","Play Equipment","St. Georges Avenue",,,"SA","Glandore","5037",,"Playground"
116,323047,9367,276,"SA","Sunningdale Avenue Reserve, Novar Gardens","Park","Play Equipment","Sunningdale Avenue",,,"SA","Novar Gardens","5040",,"Playground"
117,323048,9369,276,"SA","Swan Avenue Reserve, West Beach","Park","Play Equipment","Swan Avenue",,,"SA","West Beach","5024",,"Playground"
118,323049,9370,276,"SA","Urrbrae Terrace Reserve, North Plympton","Park","Play Equipment","Urrbrae Terrace",,,"SA","North Plympton","5037",,"Playground"
119,323050,9371,276,"SA","Weigall Oval, Plympton","Oval","Picnic Area,Sports Facilities","Corner Oval Terrace and James Street",,,"SA","Plympton","5038",,"Picnic tables and chairsPlaying fieldsTennis courts"
120,323051,9372,276,"SA","West Torrens Memorial Gardens, Hilton","Park","Play Equipment","Brooker Terrace",,,"SA","Hilton","5033",,"Playground"
121,323052,9373,276,"SA","Westside Bikeway","Park","Cycling,Walking and Hiking trails","Camden Oval to James Congdon Drive",,,"SA","Novar Gardens to Mile End SA",,,"Bikeway for the use of cyclists and pedestrians"
122,323053,9442,276,"SA","Jubilee Park","Park","BBQ Facilities,Play Equipment,Shelter","1 Wellington Street",,,"SA","Glandore","5037",,"BarbequesBasketball courtPlaygroundGazeboToilets"
123,323254,9725,271,"SA","Yeo Avenue Reserve",",Park,",",Play Equipment,Shelter,","Yeo Avenue",,,"SA","Highgate","5063",,
124,323255,9726,271,"SA","Windsor Street Reserve",",Park,",,"Windsor Street",,,,"Fullarton","5063",,"<div><ul><li>Limited Recreational Area</li></ul></div>"
125,323256,9727,271,"SA","Wayville Reserve",",Park,",",BBQ Facilities,Play Equipment,","Le Hunte Street",,,,"Wayville","5034",,"<div><ul class="
126,323257,9728,271,"SA","Ridge Park",",Park,",",BBQ Facilities,Play Equipment,Shelter,Sports Facilities,Toilets,","Barr Smith Avenue",,,"SA","Myrtle Bank","5064",,
127,323258,9729,271,"SA","Village Green",",Park,",",Toilets,","Oxford Terrace",,,,"Unley","5061",,"<div><ul><li>Recreational Area</li></ul></div>"
128,323259,9730,271,"SA","Scammell Reserve",",Park,",",BBQ Facilities,Play Equipment,Sports Facilities,","Culross Avenue",,,"SA","Myrtle Bank","5064",,
129,323260,9731,271,"SA","Unley Primary School",",Park,",",Play Equipment,Sports Facilities,","Cremorne Street",,,,"Malvern","5061",,
130,323261,9732,271,"SA","Simpson Parade Reserve",",Park,",,"Simpson Parade",,,"SA","Wayville","5034",,
131,323262,9733,271,"SA","Soldiers Memorial Gardens",",Garden,",",Shelter,Toilets,","Corner Unley Road & Thomas Street",,,"SA","Unley","5061",,
132,323263,9734,271,"SA","Unley Oval",",Oval,",",BBQ Facilities,Dog Exercise Area,Picnic Area,Play Equipment,Shelter,Sports Facilities,Toilets,","Trimmer Terrace",,,,"Unley","5061",,"<div><div><a href="
133,323264,9735,271,"SA","Soutar Park",",Park,",",BBQ Facilities,Shelter,Toilets,","Albert Street",,,"SA","Goodwood","5034",,
134,323379,25290,258,"SA","Lions Jubilee Park","Park","BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets","Victoria Parade / Tottenham Road","NULL","NULL","SA","Port Augusta","5700",,"A great place for a family BBQ.Adjacent fast food facilities."
135,323380,34096,258,"SA","East Side Foreshore",",Garden,Park,",",BBQ Facilities,Cycling,Disabled Facilities,Picnic Area,Play Equipment,Toilets,Walking and Hiking trails,","Wharflands Esplanade",,,"SA","Port Augusta","5700",,"<div><div><p>Adjacent to Port Augusta's main shopping district, the Eastside Foreshore boasts BBQ's, half court basketball facility, playground, fully automated public toilet, a jetty for fishing and pontoons for swimming and boat mooring.Â  The Swimmers Memorial Garden located on the Foreshore is a popular place for weddings.</p><p><a href=""page.cfm?u=1072"" title=""Eastside Foreshore Redevelopment"">Eastside Foreshore Redevelopment webpage</a></p></div></div>"
136,323381,34097,258,"SA","Gladstone Square","Garden,Park","BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets","Marryatt Street","NULL","NULL","SA","Port Augusta","5700",,"Rotunda stage area.  Ornamental/memorial garden.  Adjacent shopping centres.  Caravan, trailer and bus parking available."
137,323382,34098,258,"SA","Keith Jones Memorial Park",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Toilets,","Seaview Road / Elsie Street",,,"SA","Port Augusta","5700",,
138,323383,34099,258,"SA","Arboretum Park","Park","BBQ Facilities,Picnic Area,Play Equipment","Flinders Terrace","NULL","NULL","SA","Port Augusta","5700",,
139,323384,34100,258,"SA","Volunteer Park",",Park,",",BBQ Facilities,Cycling,Picnic Area,Play Equipment,Shelter,Sports Facilities,","Tassie Street / Daniel terrace",,,"SA","Port Augusta","5700",,
140,323385,34101,258,"SA","Rotary Park",",Park,",",BBQ Facilities,Disabled Facilities,Picnic Area,Play Equipment,Toilets,","Mitchell Terrace",,,"SA","Port Augusta West","5700",,
141,323386,34102,258,"SA","Westside Lookout Tower",",Park,",",Picnic Area,","Mitchell Terrace / Gold Street",,,"SA","Port Augusta West","5700",,"<div><div>The tower was built in 1882 to provide a pressure water supply for the residents of Port Augusta West.</div><div>The lookout is surrounded by beautiful gardens and boasts excellent views of the Gulf and the Flinders Ranges from the balcony at the top of the tower.</div></div>"
142,323387,34103,258,"SA","Northey Crescent",",Park,",",Picnic Area,Play Equipment,","Northey Crescent",,,"SA","Port Augusta West","5700",,"<div><div>Sporting facilities include cricket pitch, football goals and basketball ring.</div></div>"
143,323388,34104,258,"SA","Sid Welk Park",",Park,",",Picnic Area,Play Equipment,","McSporran Crescent",,,"SA","Port Augusta West","5700",,
144,323389,34105,258,"SA","West Side Foreshore",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Toilets,",,,,"SA","Port Augusta West","5700",,"<div><div>Caravan, trailer and bus parking available.</div></div>"
145,323390,34106,258,"SA","Robert 'Bert' McKenzie Memorial Parkland",",Park,",",BBQ Facilities,Play Equipment,Shelter,","Progress Avenue",,,"SA","Stirling North","5700",,"<div><div>Bull ring for exercising horses; basketball half court.</div></div>"
146,323391,34107,258,"SA","Back Beach",",Park,",",Shelter,Walking and Hiking trails,","Simms / Vincent Street",,,"SA","Port Augusta","5700",,
147,323392,34108,258,"SA","Central Oval",",Oval,",",Shelter,Sports Facilities,Toilets,","Augusta Terrace",,,"SA","Port Augusta","5700",,"<div><div>Event bookings can be made by calling the Port Augusta Council Office on 08 8641 9100.</div></div>"
148,323403,34112,258,"SA","Apex Park",",Park,",,"Flinders Terrace / Stirling Road",,,"SA","Port Augusta","5700",,
149,323981,9827,250,"SA","Memorial Park, Jamestown",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","Corner of Vohr Street and Irvine Street","R M Williams Way",,"SA","Jamestown","5491","World War 1 Krupp Cannon Memorial; Memorial Park can be booked for events through the Northern Areas Council.",
150,323994,27491,275,"SA","McCorquindale Park - Penola",",Oval,",",Disabled Facilities,Dog Exercise Area,Play Equipment,Shelter,Sports Facilities,Toilets,","Cameron Street",,,"SA","Penola","5277","Sporting complex offering, football oval, netball/tennis courts, basketball stadium, toilets, shelter, cricket nets and childrens playground",
151,323995,27492,275,"SA","Hatherleigh Sport & Recreation Centre",",Oval,",",Picnic Area,Play Equipment,Shelter,Sports Facilities,Toilets,","North East Terrace",,,"SA","Hatherleigh","5280","Sporting complex offering football oval, netball and tennis courts, toilets, picnic area and childrens playground",
