OBJECTID,RECNO,NAME,F_CODE,OTHERDETLS,SOURCE,CLASS,COUNTY,LATITUDE,LONGITUDE,STATE,NAMEDBY,DATENAMED,DERIVATION,ORIGCODE,CURNAME,PREVNAME,ALTNAME,ELEVATION,PUBLIC_REL
253,SA0049844,Glenelg Community Hospital,HOSP,"Situated at 5 Farrell Street, Glenelg South.",City of Holdfast Bay - Local Heritage PAR Pg 5 / DTEI Points of Interest database /,RECD,Adelaide,-34.99138389,138.51124275,SA,,,,****,,,Glenelg District Community Hospital,,Y
254,SA0026492,Glenelg Golf Course,RESV,,1:50 000 Mapsheet / 1:10 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition / DTEI Points of Interest database /,LOCL,Adelaide,-34.96228426,138.52803343,SA,,,,****,,,,,Y
255,SA0026497,Glenelg Oval,RESV,"Brighton Road, Glenelg.",1:10 000 Mapsheet / City of Holdfast Bay - Local Heritage PAR Pg 4 / DTEI.2009/29930/01 / Government Gazette 1/9/2011 / DTEI Points of Interest database /,LOCL,Adelaide,-34.98516403,138.52048296,SA,,,,****,,,,,Y
256,SA0026482,Gleneagles Reserve,RESV,,1:10 000 Mapsheet / DPTI.2012/11770/01 / City of Charles Sturt Reserves Dataset January 2013 / DTEI Points of Interest database /,LOCL,Adelaide,-34.904162,138.51547319,SA,City of Charles Sturt,,,****,,,,,Y
205,SA0018460,Forest Range,LOCB,Reportedly named by Caleb Briggs (Cockburn).  Boundaries created in February 1997 for long established name for the portion within the District Council of Onkaparinga.  Portion within the Adelaide Hills Council added in October 2001. Portion excluded and,Survey Diagram Book / Captain Edmunds Map / 1 Mile to 1 Inch Mapsheet / 1:250 000 Mapsheet / 1:50 000 Mapsheet / DENR.9124/1994 / Government Gazette 20/02/1997 / Government Gazette 25/10/2001 / DAIS.04/0149 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Maps,GEOG,Adelaide,-34.92941757,138.80560723,SA,,,Descriptive of location,DE**,,,,,Y
231,SA0012044,Uraidla,LOCB,Originally a private subdivision of Section 12.  Boundaries established in October 2001 for the long established name.  Following requests from residents in 2003 a review of the locality boundaries around Ashton / Horsnell Gully took place.  As a result,1 Mile to 1 Inch Mapsheet / 1:50 000 Mapsheet / 1:10 000 Mapsheet / Government Gazette 25/10/2001 / DAIS.04/0149 / DAIS.22-413/03/0019 / Government Gazette 26/4/2007 / SD.6654 / Government Gazette 27/6/1985 / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Ma,GEOG,Adelaide,-34.95815671,138.74420603,SA,Thomas Playford (senior),,,AB**,,,,,Y
334,SA0003551,Gum Hollow,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.95470713,138.7792065,SA,,,,****,,,,,Y
335,SA0067788,Glenelg Motel,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.97366167,138.51496616,SA,,,,PLSA,,,,,Y
336,SA0003561,Tennahsons,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.8495997,138.95246029,SA,,,,****,,,,,Y
337,SA0003565,Pine Ridge,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.85924961,138.9499501,SA,,,,****,,,,,Y
339,SA0003562,Blumburgh,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.85829986,138.97177037,SA,,,,****,,Roxburgh (Homestead),,,Y
340,SA0067731,Gawler CRC Church,BLDG,No Longer Exists,DTEI Points of Interest database /,LOCH,Adelaide,-34.61418733,138.7331804,SA,,,,PLSA,,,,,Y
342,SA0067762,General Havelock Hotel,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.93252324,138.61118449,SA,,,,****,,,,,Y
343,SA0067783,Glenelg Nursing Home,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.97930739,138.5154855,SA,,,,PLSA,,,,,Y
378,SA0067776,Glanville Wharf Hotel,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.84777378,138.49257426,SA,,,,DELO,,,,,Y
402,SA0067792,Glenrose Court Retirment Village,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.95861255,138.64295021,SA,,,,PLSA,,,,,Y
403,SA0067770,Gilles Plains Scout Hall,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.84751815,138.65877005,SA,,,,PLSA,,,,,Y
404,SA0067773,Gillman Speedway,RSTA,,DTEI Points of Interest database /,LOCL,Adelaide,-34.83844473,138.53580229,SA,,,,PLSA,,,,,Y
405,SA0067793,Glenroy Scout Hall,BLDG,May no longer exist - location is approximate,DTEI Points of Interest database /,LOCH,Adelaide,-34.87362109,138.66677386,SA,,,,****,,,,,Y
385,SA0067774,Glandore Bowling Club,BLDG,May no longer exist - location is approximate only,DTEI Points of Interest database /,LOCH,Adelaide,-34.95874847,138.56749603,SA,,,,PLSA,,,,,Y
386,SA0067779,Glen Osmond MFS Fire Station,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.9625926,138.64308041,SA,,,,PLSA,,,,,Y
387,SA0067782,Glenara Winery,FTRY,,DTEI Points of Interest database /,LOCL,Adelaide,-34.79348678,138.75693307,SA,,,,PLSA,,,,,Y
395,SA0067763,George Crawford Reserve,RESV,,DTEI Points of Interest database /,LOCL,Adelaide,-34.86147639,138.66349668,SA,,,,PRSA,,,Windsor Gardens Reserve,,Y
396,SA0067775,Glanville Scout Hall,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.85037241,138.47973079,SA,,,,PLSA,,,,,Y
398,SA0067768,Gilberton Gallery,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.89737792,138.61471832,SA,,,,PLSA,,,,,Y
352,SA0067772,Gilleston Park,RESV,,DTEI Points of Interest database /,LOCL,Adelaide,-34.98989492,138.82336108,SA,,,,****,,,,,Y
356,SA0067654,Garage Bar,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.92770566,138.59186691,SA,,,,****,,,,,Y
275,SA0067671,Garden Cottages Greengate,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.95103639,138.65741449,SA,,,,****,,,,,Y
277,SA0067545,Gables of St Morris Retirment Village,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.91112499,138.65089095,SA,,,,****,,,,,Y
279,SA0067730,Gateway Uniting Church,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.70449634,138.68993267,SA,,,,****,,,,,Y
280,SA0067766,Gilbert Hotel,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.93574552,138.59573686,SA,,,,DELO,,,,,Y
290,SA0067765,Gibbs Park,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-35.02150029,138.59833898,SA,,,,****,,,,,Y
291,SA0067790,Glenelg Womens Bowling Club,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.98424009,138.52142736,SA,,,,PLSA,,,,,Y
292,SA0067761,Gelland Uniting Church,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.8842464,138.55993342,SA,,,,****,,,,,Y
293,SA0067769,Gilles Plains Shopping Centre,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.85738896,138.65406777,SA,,,,****,,,,,Y
294,SA0067784,Glenelg Police Sation,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.98132383,138.51269697,SA,,,,PLSA,,,,,Y
304,SA0003505,Red Hill,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.98874731,138.81359634,SA,,,,****,,,,,Y
305,SA0003509,Tathra,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.97228734,138.80785655,SA,,,,****,,,,,Y
306,SA0003517,Tennyson Farm,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.99169701,138.78888,SA,,,,****,,Pine Ridge (Homestead),,,Y
308,SA0003516,The Stockroute,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.98510717,138.80000624,SA,,,,****,,Cremorne Park (Homestead),,,Y
309,SA0003580,Bartholomew,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.86654968,138.9599301,SA,,,,****,,,,,Y
310,SA0067781,St Pauls Catholic Church,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.96596608,138.64075269,SA,,,,RELG,,,,,Y
311,SA0067107,Gartrell Memorial Church,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.93286345,138.63132286,SA,,,,****,,,,,Y
312,SA0067771,Gilles Plains and Hampstead Gardens RSL Club,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.88199622,138.62222472,SA,,,,DELO,,,,,Y
320,SA0067787,Glenelg Cinema Centre,BLDG,No longer exists,DTEI Points of Interest database /,LOCH,Adelaide,-34.98122652,138.51780054,SA,,,,PLSA,,,,,Y
322,SA0067728,Gaslight Tavern,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.90348219,138.57395047,SA,,,,****,,,,,Y
323,SA0067750,Gawler Northside Christian Fellowship,BLDG,Assemblied of God Church,DTEI Points of Interest database /,LOCL,Adelaide,-34.63224683,138.72754235,SA,,,,DELO,,,,,Y
326,SA0067673,Garden Cottages St Georges,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.95569234,138.64262,SA,,,,****,,,,,Y
327,SA0067791,Glenhurst Winery,FTRY,,DTEI Points of Interest database /,LOCL,Adelaide,-35.00869255,138.82894796,SA,,,,PLSA,,,,,Y
493,SA0012005,Upper Waterfall,WTRF,,SD.11336 / Government Gazette 10/11/1994 / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-35.00962552,138.66585426,SA,,,,****,,,,,Y
505,SA0011970,Upper Sturt,SUB,Originally a private subdivision of section 962.  Suburb boundaries altered in December 1985.   Portion added in August 1989.  Portion excluded and added to Heathfield in 1999.   Portion of Heathfield added in July 2002.  Portion excluded and added to St,Parliamentary Plan 336 / 1 Inch to 1 Mile Mapsheet / Government Gazette 12/8/1999 & Government Gazette Corrigendum / DEHAA.04/0232 / Government Gazette 19/12/1985 / DL.4838/1986 / Government Gazette 10/8/1989 / DL.1160/1988 / Government Gazette 25/7/2002,GEOG,Adelaide,-35.02502561,138.68232419,SA,,,,****,,,,,Y
425,SA0067786,Glenelg Guide Hall,BLDG,Location is approximate only,DTEI Points of Interest database /,LOCL,Adelaide,-34.97510144,138.51788865,SA,,,,PLSA,,,,,Y
429,SA0067785,Glenelg Bowling Club,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.98327788,138.51605684,SA,,,,PLSA,,,,,Y
436,SA0003535,Jacaranda,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.97389676,138.75659592,SA,,,,****,,,,,Y
437,SA0003492,Springbrook,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.98137752,138.82888665,SA,,,,****,,,,,Y
438,SA0003556,Burghclere,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.85318972,138.95645027,SA,,,,****,,Noonameena (Homestead),,,Y
439,SA0003527,Yendaloch,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.97977682,138.76541592,SA,,,,****,,,,,Y
440,SA0003576,Rutherglen,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.85206983,138.9655704,SA,,,,****,,Montnessing Park (Homestead),,,Y
441,SA0003544,Hillstown,HMSD,,1:50 000 Mapsheet - 4th Edition Field Check /,LOCL,Adelaide,-34.95083722,138.78549664,SA,,,,****,,,,,Y
442,SA0067789,Glenelg RSL,BLDG,No longer exists,DTEI Points of Interest database /,LOCL,Adelaide,-34.98259267,138.51288735,SA,,,,PLSA,,,,,Y
453,SA0011941,Goyder Reserve,RESV,,1:50 000 Mapsheet - 4th Edition Field Check /,LOCL,Adelaide,-35.05314628,138.75745461,SA,,,,****,,,,,Y
459,SA0067757,Gawler Cemetery,CEM,,DTEI Points of Interest database /,LOCL,Adelaide,-34.59511122,138.76261516,SA,,,,DELO,,,St Georges Cemetery,,Y
482,SA0000583,John Horrocks Memorial Green,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.91079593,138.6490257,SA,See Other Details,,,****,,,,,Y
613,SA0000438,Scott Street Reserve,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.89965604,138.65284593,SA,See Other Details,,,****,,,,,Y
648,SA0012053,Uraidla Post Office,BLDG,,?,RECD,Adelaide,-34.95752671,138.74375604,SA,,,Uraidla,PLSA,,,,,Y
650,SA0011703,Unley Swimming Pool,BAPL,,1:10 000 Mapsheet /,RECD,Adelaide,-34.95243493,138.58288423,SA,,,,****,,,,,Y
651,SA0011681,Unley Infant School,SCHL,,1:10 000 Mapsheet /,RECD,Adelaide,-34.9555452,138.60810448,SA,,,Name of adjacent suburb,PLSA,,,,,Y
636,SA0018931,Weemalah,HMSD,,1:50 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-34.65326994,138.87041253,SA,,,,AB**,,,,,Y
527,SA0067245,John Lawrie / Mukutilla Reserve,RESV,"Reserve dual named by the City of Onkaparinga 2008.  The reserve honours both John Lawrie (deceased), who was a prominent advocate for open space and views to the ranges and the traditional landowners, the Kaurna people who have a strong attachment to th","DPTI.2012/06121/01 / City of Onkaparinga Reserves Dataset October 2012 and website / Dr Rob Amery, Kaurna linguist's e-mail 19/2/2013 /",LOCL,Adelaide,-35.28106509,138.45537976,SA,City of Onkaparinga,2008/12/02,See Other Details,****,,,The Knoll,,Y
545,SA0067777,Glen Osmond Scout Hall,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.96197279,138.63811343,SA,,,,PLSA,,,,,Y
549,SA0067764,Gepps Cross Hotel,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.84978202,138.59859864,SA,,,,PLSA,,,,,Y
550,SA0067542,Fullarton Motor Lodge,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.95556235,138.63446692,SA,,,,PLSA,,,,,Y
551,SA0067664,Garden Cottages Beaumont,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.9520533,138.6564796,SA,,,,****,,,,,Y
552,SA0067767,Gilberton Scout Hall,BLDG,,DTEI Points of Interest database /,LOCL,Adelaide,-34.89276177,138.60751274,SA,,,,PLSA,,,,,Y
720,SA0000533,Otto Park,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.91140564,138.62320538,SA,See Other Details,,,****,,,,,Y
739,SA0011997,Upper Sturt Railway Station,RSTA,18 miles south,?,RECD,Adelaide,-35.01462575,138.68945445,SA,,,,PLSA,,,,447 m,Y
673,SA0000550,May Street Reserve No 1,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.905066,138.65188583,SA,See Other Details,,,****,,,,,Y
697,SA0026215,Glanville Railway Station,RSTA,8 1/2 miles northwest of Adelaide on the Outer Harbor line.,1:10 000 Mapsheet / 1:50 000 Mapsheet - 2nd Edition / 1:50 000 Mapsheet - 3rd Edition / Dept of Planning Transport & Infratustructure Railway Station Dataset 2012 / DTEI Points of Interest database /,RECD,Adelaide,-34.84363839,138.49205501,SA,,,Adjoins Glanville,PLSA,,,,4 m,Y
698,SA0026039,Windsor Gardens Reserve,RESV,,1:10 000 Mapsheet /,LOCL,Adelaide,-34.86147639,138.66349668,SA,,,,****,,,George Crawford Reserve,,Y
699,SA0045030,German Arms Hotel,BLDG,On the State Heritage List.,DTEI Points of Interest database /,RECD,Adelaide,-35.0296179,138.80736526,SA,,,,****,,,,,Y
700,SA0026204,Glandore Oval,RESV,,1:10 000 Mapsheet / DTEI Points of Interest database /,LOCL,Adelaide,-34.96590471,138.57023386,SA,,,,****,,,,,Y
858,SA0000634,Felixstow Reserve,RESV,Named by the City of Norwood Payneham & St Peters.,DAIS.22-413/04/0036 / Government Gazette 15/12/2005 / DTEI Points of Interest Database /,LOCL,Adelaide,-34.88627605,138.64674608,SA,See Other Details,2005/11/07,,****,,,,,Y
774,SA0011992,Upper Sturt Primary School,SCHL,School opened in 1878.,SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 /,RECD,Adelaide,-35.02052565,138.68306428,SA,Minister of Education,,,****,,,,,Y
775,SA0011972,Upper Sturt Post Office,BLDG,,1 Inch to 1 Mile Mapsheet /,RECD,Adelaide,-35.02769546,138.67050401,SA,,,,PLSA,,,,,Y
788,SA0012056,Uraidla Primary School,SCHL,School opened in 1875.,1:10 000 Mapsheet / SA Education Department History Printout 1989 / SA Education Department Opens and Closures Printout 1989 / SA Lands Department Property Register Printout 1988 /,RECD,Adelaide,-34.96046668,138.74269598,SA,Minister of Education,,Located in the locality of Uraidla,PLSA,,,,,Y
789,SA0012078,Ambulance Ground,RESV,,1:50 000 Mapsheet-4th Edition Field Check / 1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-35.00477678,138.77577563,SA,,,,****,,,,,Y
922,SA0024878,McGilp Recreation Park,RESV,,1:50 000 Mapsheet / 1:10 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,LOCL,Adelaide,-34.7136584,138.76413029,SA,,,,PR**,,,,,Y
927,SA0024853,Workanda Creek,STRM,,SD.11336 / 1 Inch to 1 Mile Mapsheet / Government Gazette 10/11/1994 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-35.01338507,138.62837375,SA,,,,AB**,,,,,Y
938,SA0011741,Max Amber Sportsfield,RESV,"Renamed to honour long serving member of Council and Mayor, Mr Max Amber.  He has served as Councillor in 1969, 1973, 1995-1997, as Area Councillor 2000-2010, as Alderman 1973, 1982, 1991-1993 & 1997-2000 and the Mayor of the City of Campbelltown 1982-19",DAIS.22-413/02/0015 /,LOCL,Adelaide,-34.86991665,138.69153687,SA,City of Campbelltown,2010/06/01,Max Amber,PRSA,,Torrens Valley Sports Field,,,Y
1045,SA0000250,Adelaide Oval,RESV,Dual naming approved by City of Adelaide on 28/5/2001.,1:10 000 Mapsheet / DEHAA.04/0273 / 1:50 000 Mapsheet - 4th Edition / DTEI.2009/29930/01 / Government Gazette 1/9/2011 /,LOCL,Adelaide,-34.91703528,138.59482496,SA,,,,****,,,Tarndanya Womma,,Y
1073,SA0000584,James Coke Park,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.92434568,138.63381529,SA,See Other Details,,,****,,,,,Y
1081,SA0000590,Glenbrook Close Reserve No 3,RESV,Named by the City of Norwood Payneham & St Peters.,DAIS.22-413/04/0036 / Government Gazette 15/12/2005 /,LOCL,Adelaide,-34.89173581,138.62764576,SA,See Other Details,2005/11/07,,****,,,,,Y
1093,SA0000502,Payneham Youth Centre,BLDG,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,RECD,Adelaide,-34.89295596,138.64190591,SA,See Other Details,,,****,,,,,Y
1100,SA0000626,Garden of Remembrance,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.89488594,138.64128587,SA,See Other Details,,,****,,,,,Y
984,SA0024880,Wild Dog Creek,STRM,,Withdrawn Public Maps / Survey Diagram Book / 1:50 000 Mapsheet / 1:10 000 Mapsheet / DENR.220/1995 / Government Gazette 9/7/1998 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-34.67067931,138.82247168,SA,,,,****,,,,,Y
992,SA0036793,Elizabeth North Guide Hall,BLDG,,DTEI Points of Interest Database /,RECD,Adelaide,-34.70833706,138.67362842,SA,,,,PLSA,,,,,Y
993,SA0036574,Elizabeth East Shopping Centre,BLDG,,DTEI Points of Interest Database /,RECD,Adelaide,-34.72581165,138.67880906,SA,,,,PLSA,,,,,Y
997,SA0041832,Flaxmill Shopping Centre,BLDG,,DTEI Points of Interest Database /,RECD,Adelaide,-35.12816886,138.49787911,SA,,,,PLSA,,,,,Y
998,SA0041830,Flinders Bar and Bistro,BLDG,,DTEI Points of Interest Database /,RECD,Adelaide,-34.92865836,138.60160588,SA,,,,PLSA,,,,,Y
1008,SA0000586,High Street Reserve,RESV,Name confirmed by the City of Norwood Payneham & St Peters in August 2008.,DAIS22-413/04/0036 /,LOCL,Adelaide,-34.92778581,138.6478854,SA,,,,****,,,,,Y
1010,SA0000429,St Margarets Crescent Reserve No 1,RESV,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005.",DAIS.22-413/04/0036 / Government Gazette 23/06/2005 /,LOCL,Adelaide,-34.89181597,138.64253594,SA,See Other Details,,,****,,,,,Y
1033,SA0009827,Tumblegum,HMSD,,1:50 000 Mapsheet-3rd Edition /,LOCL,Adelaide,-35.24696324,138.59329943,SA,,,,****,,,,,Y
1237,SA0014093,Clapham Railway Station,RSTA,6 1/4 miles south of Adelaide. Name alteration to Springbank Railway Station proposed by City of Mitcham at Council meeting held in 1945.  Station status altered to historical following advise from Mapping Branch in July 2012.,1:50 000 Mapsheet / 1:10 000 Mapsheet /  DL.5932/1945 / 1:50 000 Mapsheet - 3rd Edition / DTEI Points of Interest Database / DPTI.2012/11770/01 /,RECH,Adelaide,-34.99120497,138.60746388,SA,,,Suburb of Clapham,PLSA,,,,97 m,Y
1212,SA0034081,East End Exchange Hotel,BLDG,,DTEI Points of Interest Database /,RECD,Adelaide,-34.92550567,138.60853143,SA,,,,****,,,,,Y
1118,SA0039485,First Church Christian Science,BLDG,,DTEI Points of Interest Database /,RECD,Adelaide,-34.92290666,138.60619917,SA,,,,****,,,,,Y
1119,SA0003525,The Pines,HMSD,,1:50 000 Mapsheet - 4th Edition Field Check / 1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.99477701,138.79020597,SA,,,,****,,,,,Y
1122,SA0003502,Bulburra,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.9869774,138.82091646,SA,,,,****,,,,,Y
